normalization,similarity,min_ratings,top_k,MAE,RMSE
raw,cosine,3,10,1.9276722770362875,2.2366371136270304
raw,cosine,3,20,1.839217635189229,2.151802649264651
raw,cosine,3,40,1.7174352965397903,2.006401279025048
raw,cosine,3,60,1.668535620546814,1.9549436951617458
raw,cosine,5,10,2.050990762314571,2.326248170306833
raw,cosine,5,20,1.9785074907555902,2.2675097785723537
raw,cosine,5,40,1.7878159706259806,2.0745160125859337
raw,cosine,5,60,1.7232774442948953,1.9944352351952908
raw,cosine,10,10,2.0198116189765893,2.3224386254697693
raw,cosine,10,20,1.9632297514166288,2.248481618303898
raw,cosine,10,40,1.864823153239863,2.14299235417168
raw,cosine,10,60,1.7563398683802243,2.0328883222663223
raw,pearson,3,10,1.785093326687914,2.090590485437772
raw,pearson,3,20,1.6607250396215099,1.944135367824369
raw,pearson,3,40,1.645110283112221,1.9261751870843902
raw,pearson,3,60,1.5303763761913642,1.8274112816622925
raw,pearson,5,10,1.8148255619831182,2.1147706641814996
raw,pearson,5,20,1.7525307653690254,2.031508681412064
raw,pearson,5,40,1.5996164889965898,1.8898022361798539
raw,pearson,5,60,1.581257853126666,1.850585201928694
raw,pearson,10,10,1.9536521883461924,2.23055940874735
raw,pearson,10,20,1.8291793414005029,2.111347579493673
raw,pearson,10,40,1.671770800951457,1.9617223857134451
raw,pearson,10,60,1.6592962231696065,1.9301846092584913
mean_center,cosine,3,10,1.6428099657285664,1.9578314424969734
mean_center,cosine,3,20,1.5590078133632523,1.8482501936248084
mean_center,cosine,3,40,1.503951667955401,1.7658805947804992
mean_center,cosine,3,60,1.3449019048937758,1.6188774800200723
mean_center,cosine,5,10,1.5670169046096267,1.8662485873097339
mean_center,cosine,5,20,1.4582451204887825,1.740456999990533
mean_center,cosine,5,40,1.3272272479226546,1.594776552690339
mean_center,cosine,5,60,1.258561200505533,1.5317329839853342
mean_center,cosine,10,10,1.3788168522598625,1.692887207487924
mean_center,cosine,10,20,1.3549988866185414,1.6209405457737698
mean_center,cosine,10,40,1.218834434533739,1.4977124786974323
mean_center,cosine,10,60,1.2084182373075423,1.482419742341414
mean_center,pearson,3,10,1.5280286895568034,1.8135572717254314
mean_center,pearson,3,20,1.3817572280126995,1.6714129735767878
mean_center,pearson,3,40,1.2478242241296453,1.511595138241216
mean_center,pearson,3,60,1.214746245914163,1.47021017049916
mean_center,pearson,5,10,1.4300809893793094,1.7157017052898056
mean_center,pearson,5,20,1.3340149533335146,1.6216829621393736
mean_center,pearson,5,40,1.2589249634868238,1.518832847694679
mean_center,pearson,5,60,1.1861830433788785,1.4405941613120385
mean_center,pearson,10,10,1.389795002160854,1.7073155379156633
mean_center,pearson,10,20,1.2732462656720291,1.5350331259065912
mean_center,pearson,10,40,1.1404526311193777,1.4092242754199304
mean_center,pearson,10,60,1.1070905515126903,1.3745775756276313
zscore,cosine,3,10,1.9642308118255678,2.997772279933148
zscore,cosine,3,20,1.800954128400126,2.602481472528986
zscore,cosine,3,40,1.6860772274788824,2.2690041172567144
zscore,cosine,3,60,1.5026668549534756,2.0201334693373014
zscore,cosine,5,10,1.7642377361105879,2.5066411604586487
zscore,cosine,5,20,1.562071285375611,2.192823093904576
zscore,cosine,5,40,1.4456980491845934,1.8870276113070417
zscore,cosine,5,60,1.299668493056553,1.7104249407524657
zscore,cosine,10,10,1.474402748637267,2.085434161455578
zscore,cosine,10,20,1.30351464453736,1.7823552550554969
zscore,cosine,10,40,1.1983813056513375,1.6091460204603696
zscore,cosine,10,60,1.092786753360284,1.4466713414197416
zscore,pearson,3,10,1.8223246599092109,2.8217685593167694
zscore,pearson,3,20,1.595022660398403,2.3257547389615794
zscore,pearson,3,40,1.4344407835311828,2.0410472701228515
zscore,pearson,3,60,1.284839165736367,1.7895352788783603
zscore,pearson,5,10,1.5571479986351038,2.2610539797777016
zscore,pearson,5,20,1.3884501944669372,1.9839902569402907
zscore,pearson,5,40,1.2876496340617118,1.7995263903618461
zscore,pearson,5,60,1.1743612119177105,1.6173435810068915
zscore,pearson,10,10,1.3304367999168663,1.927406101897774
zscore,pearson,10,20,1.2868603557750293,1.7799827771225607
zscore,pearson,10,40,1.0924882937888785,1.509819224216195
zscore,pearson,10,60,1.144378317581015,1.5762953012978025
